cabang,induk
2083,633
2084,113
2085,403
2086,50
2087,170
2088,30
2089,59
2090,63
2091,63
2092,98
2093,131
2094,411
2095,76
2096,435
2097,182
2098,97
2099,29
2100,561
2101,2101
2102,346
2103,401
2104,337
2105,354
2106,386
2108,385
2109,45
2110,140
2111,218
2112,121
2113,423
2114,193
2115,170
2116,170
2117,331
2118,55
2119,358
2120,158
2121,630
2122,572
2123,359
2124,193
2126,445
2128,406
2129,103
2130,3
2131,623
2132,572
2133,572
2134,556
2135,509
2136,393
2137,392
2139,396
2140,1081
2141,307
2142,446
2143,216
2144,1
2145,324
2146,108
2147,174
2148,187
2149,641
2150,216
2151,2
2152,29
2153,97
2154,407
2155,401
2156,352
2157,310
2158,353
2159,111
2160,284
2161,622
2162,92
2163,103
2164,29
2165,344
2166,344
2167,45
2168,243
2169,87
2170,109
2171,509
2172,397
2173,616
2174,59
2175,264
2176,39
2177,228
2178,638
2179,352
2180,384
2181,111
2182,623
2183,563
2184,401
2185,274
2186,235
2187,379
2188,187
2189,641
2190,232
2191,155
2192,155
2193,63
2194,63
2195,10
2196,66
2197,35
2198,77
2199,156
2200,29
2201,556
2202,286
2203,21
2204,70
2205,59
2206,59
2207,179
2208,58
2209,64
2210,170
2211,213
2212,103
2213,615
2214,175
2215,358
2216,584
2217,411
2218,11
2219,642
2220,87
2221,12
2223,71
2224,266
2225,41
2226,144
2227,336
2228,135
2229,92
2230,105
2231,105
2232,282
2233,340
2234,415
2235,393
2236,44
2237,51
2238,429
2239,315
2240,22
2241,69
2242,609
2243,86
2244,318
2245,12
2246,183
2247,212
2248,415
2249,433
2250,268
2251,23
2252,174
2253,572
2254,93
3001,137
3002,245
3003,245
3004,245
3005,245
3006,245
3007,245
3008,410
3009,245
3010,245
3011,245
3012,245
3013,247
3014,245
3015,245
3016,245
3017,245
3018,245
3019,247
3020,410
3021,410
3022,247
3023,334
3024,101
3025,101
3026,101
3027,661
3028,101
3029,68
3030,68
3031,68
3032,83
3033,83
3034,325
3035,83
3036,83
3037,83
3038,325
3039,83
3040,83
3041,325
3042,83
3043,325
3044,83
3045,16
3046,71
3047,71
3048,71
3049,304
3050,343
3051,642
3052,642
3053,225
3054,64
3055,192
3056,192
3057,403
3058,247
3059,247
3060,247
3061,247
3062,245
3063,247
3064,247
3065,410
3066,410
3067,410
3068,247
3069,247
3070,247
3071,247
3073,247
3074,247
3075,247
3076,247
3077,410
3078,247
3079,247
3080,48
3081,48
3082,48
3083,48
3084,48
3085,48
3086,32
3087,32
3088,32
3089,32
3090,32
3091,32
3092,247
3093,334
3094,334
3095,334
3096,334
3097,334
3098,334
3099,334
3100,334
3101,334
3102,334
3103,334
3104,334
3105,334
3106,334
3107,149
3108,77
3109,134
3110,77
3111,77
3112,77
3113,77
3114,77
3115,106
3116,106
3117,106
3118,106
3119,106
3120,106
3121,106
3122,106
3123,429
3124,51
3125,51
3126,51
3127,429
3128,51
3129,51
3130,584
3131,584
3132,584
3133,584
3134,584
3135,412
3136,584
3137,584
3138,412
3139,412
3140,584
3141,412
3142,411
3143,584
3144,412
3145,412
3146,412
3147,584
3148,584
3149,584
3150,51
3151,344
3152,344
3153,162
3154,86
3155,86
3156,86
3157,86
3158,86
3159,86
3160,86
3161,86
3162,553
3163,553
3164,553
3165,553
3166,553
3167,553
3168,553
3169,86
3170,86
3171,86
3172,86
3173,553
3174,553
3175,553
3176,86
3177,26
3178,26
3179,26
3180,26
3181,26
3182,553
3183,26
3184,26
3185,26
3186,411
3187,411
3188,411
3189,412
3190,411
3191,411
3192,412
3193,411
3194,412
3195,411
3196,411
3197,411
3198,411
3199,411
3200,411
3201,411
3202,55
3203,23
3204,33
3205,33
3206,33
3207,33
3208,33
3209,110
3210,110
3211,110
3212,45
3213,57
3214,70
3215,340
3216,340
3217,386
3218,386
3219,442
3220,340
3221,419
3222,356
3223,433
3224,379
3225,379
3226,186
3227,186
3228,186
3229,433
3230,340
3231,3
3232,242
3233,563
3234,333
3235,121
3236,121
3237,77
3238,641
3239,90
3240,177
3241,418
3242,379
3243,379
3244,418
3245,356
3246,433
3247,356
3248,340
3249,419
3250,419
3251,339
3252,421
3253,538
3254,538
3255,538
3256,442
3257,442
3258,395
3259,75
3260,302
3261,302
3262,116
3263,104
3264,46
3265,92
3266,137
3267,137
3268,544
3269,544
3270,137
3271,323
3272,323
3273,637
3274,144
3275,404
3276,638
3277,331
3278,15
3279,1079
3280,58
3281,174
3282,174
3283,115
3284,115
3285,108
3286,8
3287,408
3288,137
3289,544
3290,337
3291,137
3292,137
3293,75
3294,137
3295,107
3296,104
3297,7
3298,7
3299,7
3300,13
3301,44
3302,340
3303,419
3304,386
3305,419
3306,419
3307,340
3308,340
3309,418
3310,418
3311,418
3312,418
3313,386
3314,386
3315,395
3316,433
3317,395
3318,433
3319,395
3320,395
3321,379
